"Product Name","Category","Sub-Category","total_sales","total_profit","profit_margin","total_quantity"
"Canon imageCLASS 2200 Advanced Copier","Technology","Copiers","123199.6479999999914","50399.8559999999926","0.4091","40"
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies","Binders","54906.76799999999944","15506.0780000000002","0.2824","62"
"Cisco TelePresence System EX90 Videoconferencing Unit","Technology","Machines","45276.96","-3622.1568000000042","-0.0800","12"
"HON 5400 Series Task Chairs for Big and Tall","Furniture","Chairs","43741.1520000000008","0.00000000000078","0.0000","78"
"Easy-staple paper","Office Supplies","Paper","40067.072000000000064","17536.4671999999982048","0.4377","2400"
"GBC DocuBind TL300 Electric Binding System","Office Supplies","Binders","39646.95800000000290","4467.01019999999744","0.1127","74"
"GBC Ibimaster 500 Manual ProClick Binding System","Office Supplies","Binders","38049.00000000000114","1521.96000000000008","0.0400","96"
"Hewlett Packard LaserJet 3310 Copier","Technology","Copiers","37679.3719999999994","13967.76720000000034","0.3707","76"
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color","Technology","Machines","36749.790","8189.95319999999730","0.2229","24"
"GBC DocuBind P400 Electric Binding System","Office Supplies","Binders","35930.1360000000000","-3756.3324000000052","-0.1045","54"
"High Speed Automatic Electric Letter Opener","Office Supplies","Supplies","34060.624","-524.00960000000168","-0.0154","22"
"Lexmark MX611dhe Monochrome Laser Printer","Technology","Machines","33659.8019999999998","-9179.94600000000802","-0.2727","36"
"Martin Yale Chadless Opener Electric Letter Opener","Office Supplies","Supplies","33312.3999999999988","-2598.367199999999698","-0.0780","44"
"Ibico EPK-21 Electric Binding System","Office Supplies","Binders","31751.8320000000008","6690.5645999999998","0.2107","26"
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","Furniture","Bookcases","31221.9312000000012","-1339.08960000000002","-0.0429","48"
"Staple envelope","Office Supplies","Envelopes","30362.615999999999694","13529.3219999999989578","0.4456","3060"
"3D Systems Cube Printer, 2nd Generation, Magenta","Technology","Machines","28599.78","7435.9427999999990","0.2600","22"
"Samsung Galaxy Mega 6.3","Technology","Phones","27887.3360000000024","3645.513200000000726","0.1307","78"
"Apple iPhone 5","Technology","Phones","25993.200","3223.156800000001826","0.1240","48"
"Bretford Rectangular Conference Table Tops","Furniture","Tables","25990.58299999999994","-654.466199999998278","-0.0252","92"
