Date,Year,QuarterOfYear,Quarter & Year,MonthOfYear,DayOfMonth,Month Name,MonthShortName,Month Initial,Month & Year,DayOfWeek,DayOfWeekName,Weekday Initial,Day Type,Week & Year,IsWorkingDay,MonthYear,Quarter,WeekYearNr
2014-07-01 00:00:00.000,2014,3,"Q3 2014",7,1,"July","Jul","J​​​​​​​","Jul 2014",1,"Tuesday","T​","Weekday","2014-27",True,"201407","Q3",201427
2014-07-02 00:00:00.000,2014,3,"Q3 2014",7,2,"July","Jul","J​​​​​​​","Jul 2014",2,"Wednesday","W​​","Weekday","2014-27",True,"201407","Q3",201427
2014-07-03 00:00:00.000,2014,3,"Q3 2014",7,3,"July","Jul","J​​​​​​​","Jul 2014",3,"Thursday","T​​​","Weekday","2014-27",True,"201407","Q3",201427
2014-07-04 00:00:00.000,2014,3,"Q3 2014",7,4,"July","Jul","J​​​​​​​","Jul 2014",4,"Friday","F​​​​","Weekday","2014-27",True,"201407","Q3",201427
2014-07-07 00:00:00.000,2014,3,"Q3 2014",7,7,"July","Jul","J​​​​​​​","Jul 2014",0,"Monday","M","Weekday","2014-28",True,"201407","Q3",201428
2014-07-08 00:00:00.000,2014,3,"Q3 2014",7,8,"July","Jul","J​​​​​​​","Jul 2014",1,"Tuesday","T​","Weekday","2014-28",True,"201407","Q3",201428
2014-07-09 00:00:00.000,2014,3,"Q3 2014",7,9,"July","Jul","J​​​​​​​","Jul 2014",2,"Wednesday","W​​","Weekday","2014-28",True,"201407","Q3",201428
2014-07-10 00:00:00.000,2014,3,"Q3 2014",7,10,"July","Jul","J​​​​​​​","Jul 2014",3,"Thursday","T​​​","Weekday","2014-28",True,"201407","Q3",201428
2014-07-11 00:00:00.000,2014,3,"Q3 2014",7,11,"July","Jul","J​​​​​​​","Jul 2014",4,"Friday","F​​​​","Weekday","2014-28",True,"201407","Q3",201428
2014-07-14 00:00:00.000,2014,3,"Q3 2014",7,14,"July","Jul","J​​​​​​​","Jul 2014",0,"Monday","M","Weekday","2014-29",True,"201407","Q3",201429
2014-07-15 00:00:00.000,2014,3,"Q3 2014",7,15,"July","Jul","J​​​​​​​","Jul 2014",1,"Tuesday","T​","Weekday","2014-29",True,"201407","Q3",201429
2014-07-16 00:00:00.000,2014,3,"Q3 2014",7,16,"July","Jul","J​​​​​​​","Jul 2014",2,"Wednesday","W​​","Weekday","2014-29",True,"201407","Q3",201429
2014-07-17 00:00:00.000,2014,3,"Q3 2014",7,17,"July","Jul","J​​​​​​​","Jul 2014",3,"Thursday","T​​​","Weekday","2014-29",True,"201407","Q3",201429
2014-07-18 00:00:00.000,2014,3,"Q3 2014",7,18,"July","Jul","J​​​​​​​","Jul 2014",4,"Friday","F​​​​","Weekday","2014-29",True,"201407","Q3",201429
2014-07-21 00:00:00.000,2014,3,"Q3 2014",7,21,"July","Jul","J​​​​​​​","Jul 2014",0,"Monday","M","Weekday","2014-30",True,"201407","Q3",201430
2014-07-22 00:00:00.000,2014,3,"Q3 2014",7,22,"July","Jul","J​​​​​​​","Jul 2014",1,"Tuesday","T​","Weekday","2014-30",True,"201407","Q3",201430
2014-07-23 00:00:00.000,2014,3,"Q3 2014",7,23,"July","Jul","J​​​​​​​","Jul 2014",2,"Wednesday","W​​","Weekday","2014-30",True,"201407","Q3",201430
2014-07-24 00:00:00.000,2014,3,"Q3 2014",7,24,"July","Jul","J​​​​​​​","Jul 2014",3,"Thursday","T​​​","Weekday","2014-30",True,"201407","Q3",201430
2014-07-25 00:00:00.000,2014,3,"Q3 2014",7,25,"July","Jul","J​​​​​​​","Jul 2014",4,"Friday","F​​​​","Weekday","2014-30",True,"201407","Q3",201430
2014-07-28 00:00:00.000,2014,3,"Q3 2014",7,28,"July","Jul","J​​​​​​​","Jul 2014",0,"Monday","M","Weekday","2014-31",True,"201407","Q3",201431
2014-07-29 00:00:00.000,2014,3,"Q3 2014",7,29,"July","Jul","J​​​​​​​","Jul 2014",1,"Tuesday","T​","Weekday","2014-31",True,"201407","Q3",201431
2014-07-30 00:00:00.000,2014,3,"Q3 2014",7,30,"July","Jul","J​​​​​​​","Jul 2014",2,"Wednesday","W​​","Weekday","2014-31",True,"201407","Q3",201431
2014-07-31 00:00:00.000,2014,3,"Q3 2014",7,31,"July","Jul","J​​​​​​​","Jul 2014",3,"Thursday","T​​​","Weekday","2014-31",True,"201407","Q3",201431
2014-08-01 00:00:00.000,2014,3,"Q3 2014",8,1,"August","Aug","A​​​​​​​​","Aug 2014",4,"Friday","F​​​​","Weekday","2014-31",True,"201408","Q3",201431
2014-08-04 00:00:00.000,2014,3,"Q3 2014",8,4,"August","Aug","A​​​​​​​​","Aug 2014",0,"Monday","M","Weekday","2014-32",True,"201408","Q3",201432
2014-08-05 00:00:00.000,2014,3,"Q3 2014",8,5,"August","Aug","A​​​​​​​​","Aug 2014",1,"Tuesday","T​","Weekday","2014-32",True,"201408","Q3",201432
2014-08-06 00:00:00.000,2014,3,"Q3 2014",8,6,"August","Aug","A​​​​​​​​","Aug 2014",2,"Wednesday","W​​","Weekday","2014-32",True,"201408","Q3",201432
2014-08-07 00:00:00.000,2014,3,"Q3 2014",8,7,"August","Aug","A​​​​​​​​","Aug 2014",3,"Thursday","T​​​","Weekday","2014-32",True,"201408","Q3",201432
2014-08-08 00:00:00.000,2014,3,"Q3 2014",8,8,"August","Aug","A​​​​​​​​","Aug 2014",4,"Friday","F​​​​","Weekday","2014-32",True,"201408","Q3",201432
2014-08-11 00:00:00.000,2014,3,"Q3 2014",8,11,"August","Aug","A​​​​​​​​","Aug 2014",0,"Monday","M","Weekday","2014-33",True,"201408","Q3",201433
2014-08-12 00:00:00.000,2014,3,"Q3 2014",8,12,"August","Aug","A​​​​​​​​","Aug 2014",1,"Tuesday","T​","Weekday","2014-33",True,"201408","Q3",201433
2014-08-13 00:00:00.000,2014,3,"Q3 2014",8,13,"August","Aug","A​​​​​​​​","Aug 2014",2,"Wednesday","W​​","Weekday","2014-33",True,"201408","Q3",201433
2014-08-14 00:00:00.000,2014,3,"Q3 2014",8,14,"August","Aug","A​​​​​​​​","Aug 2014",3,"Thursday","T​​​","Weekday","2014-33",True,"201408","Q3",201433
2014-08-15 00:00:00.000,2014,3,"Q3 2014",8,15,"August","Aug","A​​​​​​​​","Aug 2014",4,"Friday","F​​​​","Weekday","2014-33",True,"201408","Q3",201433
2014-08-18 00:00:00.000,2014,3,"Q3 2014",8,18,"August","Aug","A​​​​​​​​","Aug 2014",0,"Monday","M","Weekday","2014-34",True,"201408","Q3",201434
2014-08-19 00:00:00.000,2014,3,"Q3 2014",8,19,"August","Aug","A​​​​​​​​","Aug 2014",1,"Tuesday","T​","Weekday","2014-34",True,"201408","Q3",201434
2014-08-20 00:00:00.000,2014,3,"Q3 2014",8,20,"August","Aug","A​​​​​​​​","Aug 2014",2,"Wednesday","W​​","Weekday","2014-34",True,"201408","Q3",201434
2014-08-21 00:00:00.000,2014,3,"Q3 2014",8,21,"August","Aug","A​​​​​​​​","Aug 2014",3,"Thursday","T​​​","Weekday","2014-34",True,"201408","Q3",201434
2014-08-22 00:00:00.000,2014,3,"Q3 2014",8,22,"August","Aug","A​​​​​​​​","Aug 2014",4,"Friday","F​​​​","Weekday","2014-34",True,"201408","Q3",201434
