Location Key,City,Postal Code,State,Region
10,"Anaheim","92804","California","West"
13,"Antioch","94509","California","West"
16,"Apple Valley","92307","California","West"
33,"Bakersfield","93309","California","West"
57,"Brentwood","94513","California","West"
68,"Burbank","91505","California","West"
73,"Camarillo","93010","California","West"
94,"Chico","95928","California","West"
95,"Chula Vista","91911","California","West"
97,"Citrus Heights","95610","California","West"
103,"Coachella","92236","California","West"
115,"Concord","94521","California","West"
124,"Costa Mesa","92627","California","West"
133,"Danville","94526","California","West"
135,"Davis","95616","California","West"
154,"Dublin","94568","California","West"
165,"El Cajon","92020","California","West"
170,"Encinitas","92024","California","West"
172,"Escondido","92025","California","West"
179,"Fairfield","94533","California","West"
197,"Fresno","93727","California","West"
235,"Hesperia","92345","California","West"
250,"Huntington Beach","92646","California","West"
255,"Inglewood","90301","California","West"
277,"La Mesa","91941","California","West"
280,"La Quinta","92253","California","West"
283,"Laguna Niguel","92677","California","West"
285,"Lake Elsinore","92530","California","West"
286,"Lake Forest","92630","California","West"
291,"Lakewood","90712","California","West"
294,"Lancaster","93534","California","West"
315,"Lodi","95240","California","West"
317,"Long Beach","90805","California","West"
322,"Los Angeles","90045","California","West"
323,"Los Angeles","90036","California","West"
324,"Los Angeles","90008","California","West"
325,"Los Angeles","90004","California","West"
326,"Los Angeles","90049","California","West"
327,"Los Angeles","90032","California","West"
339,"Manteca","95336","California","West"
368,"Mission Viejo","92691","California","West"
372,"Modesto","95351","California","West"
375,"Montebello","90640","California","West"
378,"Moreno Valley","92553","California","West"
379,"Morgan Hill","95037","California","West"
387,"Murrieta","92563","California","West"
415,"Oakland","94601","California","West"
417,"Oceanside","92054","California","West"
423,"Ontario","91761","California","West"
432,"Oxnard","93030","California","West"
439,"Pasadena","91104","California","West"
455,"Pico Rivera","90660","California","West"
462,"Pomona","91767","California","West"
475,"Rancho Cucamonga","91730","California","West"
478,"Redding","96003","California","West"
479,"Redlands","92374","California","West"
482,"Redondo Beach","90278","California","West"
483,"Redwood City","94061","California","West"
492,"Riverside","92503","California","West"
503,"Roseville","95661","California","West"
508,"Sacramento","95823","California","West"
519,"Salinas","93905","California","West"
523,"San Bernardino","92404","California","West"
524,"San Clemente","92672","California","West"
525,"San Diego","92024","California","West"
526,"San Diego","92105","California","West"
527,"San Diego","92037","California","West"
528,"San Francisco","94122","California","West"
529,"San Francisco","94109","California","West"
530,"San Francisco","94110","California","West"
531,"San Gabriel","91776","California","West"
532,"San Jose","95123","California","West"
533,"San Luis Obispo","93405","California","West"
535,"San Mateo","94403","California","West"
538,"Santa Ana","92704","California","West"
539,"Santa Barbara","93101","California","West"
540,"Santa Clara","95051","California","West"
542,"Santa Maria","93454","California","West"
564,"Stockton","95207","California","West"
567,"Sunnyvale","94086","California","West"
573,"Temecula","92592","California","West"
580,"Thousand Oaks","91360","California","West"
584,"Torrance","90503","California","West"
595,"Vacaville","95687","California","West"
596,"Vallejo","94591","California","West"
600,"Visalia","93277","California","West"
616,"Westminster","92683","California","West"
619,"Whittier","90604","California","West"
625,"Woodland","95695","California","West"
631,"Yucaipa","92399","California","West"
4,"Albuquerque","87105","New Mexico","West"
21,"Arvada","80004","Colorado","West"
28,"Auburn","98002","Washington","West"
30,"Aurora","80013","Colorado","West"
32,"Avondale","85323","Arizona","West"
42,"Bellevue","98006","Washington","West"
43,"Bellingham","98226","Washington","West"
46,"Billings","59102","Montana","West"
50,"Boise","83704","Idaho","West"
56,"Bozeman","59715","Montana","West"
62,"Broomfield","80020","Colorado","West"
67,"Bullhead City","86442","Arizona","West"
72,"Caldwell","83605","Idaho","West"
76,"Carlsbad","88220","New Mexico","West"
83,"Chandler","85224","Arizona","West"
90,"Cheyenne","82001","Wyoming","West"
102,"Clovis","88101","New Mexico","West"
105,"Colorado Springs","80906","Colorado","West"
113,"Commerce City","80022","Colorado","West"
126,"Covington","98042","Washington","West"
144,"Denver","80219","Colorado","West"
146,"Des Moines","98198","Washington","West"
153,"Draper","84020","Utah","West"
164,"Edmonds","98026","Washington","West"
171,"Englewood","80112","Colorado","West"
173,"Eugene","97405","Oregon","West"
176,"Everett","98208","Washington","West"
181,"Farmington","87401","New Mexico","West"
187,"Fort Collins","80525","Colorado","West"
204,"Gilbert","85234","Arizona","West"
206,"Glendale","85301","Arizona","West"
213,"Great Falls","59405","Montana","West"
214,"Greeley","80634","Colorado","West"
219,"Gresham","97030","Oregon","West"
230,"Helena","59601","Montana","West"
232,"Henderson","89015","Nevada","West"
239,"Hillsboro","97123","Oregon","West"
271,"Kent","98031","Washington","West"
297,"Las Cruces","88001","New Mexico","West"
298,"Las Vegas","89115","Nevada","West"
303,"Layton","84041","Utah","West"
306,"Lehi","84043","Utah","West"
309,"Lewiston","83501","Idaho","West"
314,"Littleton","80122","Colorado","West"
316,"Logan","84321","Utah","West"
319,"Longmont","80501","Colorado","West"
320,"Longview","98632","Washington","West"
329,"Louisville","80027","Colorado","West"
330,"Loveland","80538","Colorado","West"
346,"Marysville","98270","Washington","West"
349,"Medford","97504","Oregon","West"
355,"Meridian","83642","Idaho","West"
356,"Mesa","85204","Arizona","West"
369,"Missoula","59801","Montana","West"
386,"Murray","84107","Utah","West"
410,"North Las Vegas","89031","Nevada","West"
421,"Olympia","98502","Washington","West"
425,"Orem","84057","Utah","West"
436,"Parker","80134","Colorado","West"
440,"Pasco","99301","Washington","West"
447,"Peoria","85345","Arizona","West"
454,"Phoenix","85023","Arizona","West"
460,"Pleasant Grove","84062","Utah","West"
461,"Pocatello","83201","Idaho","West"
468,"Portland","97206","Oregon","West"
470,"Provo","84604","Utah","West"
471,"Pueblo","81001","Colorado","West"
480,"Redmond","98052","Washington","West"
481,"Redmond","97756","Oregon","West"
484,"Reno","89502","Nevada","West"
485,"Renton","98059","Washington","West"
491,"Rio Rancho","87124","New Mexico","West"
518,"Salem","97301","Oregon","West"
520,"Salt Lake City","84106","Utah","West"
541,"Santa Fe","87505","New Mexico","West"
543,"Scottsdale","85254","Arizona","West"
