Order ID,Order Date,Ship Date,Ship Mode Key,Customer Key,Segment Key,Sales Team Key,Location Key,Product Key,Quantity,Sales,Discount,Cost,Profit,Customer Value
"CA-2017-164826",2017-12-28 00:00:00.000,2018-01-04 00:00:00.000,4,"JF-15415",1,10,400,1759,3,14.850000000000001,0,10.84,4.0095,"Low Value"
"CA-2017-117933",2017-12-24 00:00:00.000,2017-12-29 00:00:00.000,4,"RF-19840",1,10,400,895,3,35.910000000000004,0,26.21,9.6956999999999987,"Low Value"
"CA-2017-117933",2017-12-24 00:00:00.000,2017-12-29 00:00:00.000,4,"RF-19840",1,10,400,950,3,35.910000000000004,0,26.21,9.6956999999999987,"Low Value"
"CA-2017-117933",2017-12-24 00:00:00.000,2017-12-29 00:00:00.000,4,"RF-19840",1,10,400,681,3,35.910000000000004,0,26.21,9.6956999999999987,"Low Value"
"CA-2017-108756",2017-12-25 00:00:00.000,2017-12-29 00:00:00.000,4,"PO-18865",1,10,159,1521,3,31.799999999999997,0,18.13,13.674000000000003,"Low Value"
"CA-2017-165841",2017-12-21 00:00:00.000,2017-12-28 00:00:00.000,4,"DB-13210",1,10,442,1723,3,281.96999999999997,0,203.02,78.9516,"Low Value"
"CA-2017-165841",2017-12-21 00:00:00.000,2017-12-28 00:00:00.000,4,"DB-13210",1,10,442,1231,3,166.44,0,86.55,79.8912,"Low Value"
"CA-2017-124296",2017-12-24 00:00:00.000,2017-12-28 00:00:00.000,4,"CS-12355",1,10,282,1628,3,479.97,0,239.98,239.985,"Low Value"
"CA-2017-155376",2017-12-22 00:00:00.000,2017-12-27 00:00:00.000,4,"SG-20080",1,10,253,1225,3,839.43000000000006,0,621.18,218.25179999999997,"Low Value"
"CA-2017-163405",2017-12-21 00:00:00.000,2017-12-25 00:00:00.000,4,"BN-11515",1,10,326,1057,3,6.63,0,4.84,1.7901,"Low Value"
"CA-2017-133431",2017-12-17 00:00:00.000,2017-12-21 00:00:00.000,4,"LC-17140",1,10,528,1184,3,13.23,0,7.14,6.0858,"Low Value"
"CA-2017-130309",2017-12-17 00:00:00.000,2017-12-21 00:00:00.000,4,"GB-14575",1,10,19,1186,3,544.38,0,386.51,157.87019999999993,"Low Value"
"CA-2017-154116",2017-12-15 00:00:00.000,2017-12-19 00:00:00.000,4,"KM-16660",1,10,255,1197,3,22.830000000000002,0,12.1,10.7301,"Low Value"
